NOM,NUMERO,SHAPE_LEN
Dardelles,"3600011",3823.35448172000
Grange-Collomb,"0800090",3428.08334020000
Drize - La Chapelle,"3300060",3082.66939001000
L'Abbaye,"3500029",4552.75748323000
Presinge,"3500039",5170.08664561000
Sierne - Petit-Veyrier,"4500030",4683.18591736000
Villette,"4000080",4769.78064665000
Les Etoiles,"2400040",7063.69942224000
Chêne-Bourg - centre,"1300030",2264.78389960000
Prés-de-la-Gradelle,"1700050",3581.32091493000
Aïre - Pont-BUTIN,"4300101",3079.94085327000
Les Lolliets,"3900020",3095.47152535000
Parc-des-Sports,"2135010",1211.06390330000
La Voie-Creuse,"2132040",1577.62263965000
Varembé,"2133030",1528.92540623000
Balexert - Crozet,"4300050",1603.23405923000
Le Grand-Pré,"2133010",1547.72194114000
Servette - Poterie,"2135051",1477.58047480000
Le Mervelet,"2134010",2004.95385808000
Les Crêts,"2134090",1876.58846903000
SOUBEYRAN,"2135100",1274.46921924000
Grand-Saconnex - Organisations,"2300031",2222.25772064000
La Bourgogne,"2135090",1614.57343198000
Les Avanchets,"4300031",2028.60859849000
La Tourelle,"2134030",1547.25087491000
Les Franchises,"2135020",1631.44829150000
Rte de Vernier - Pétroliers,"4300080",3498.20333551000
Le Bouchet,"2134080",1590.97620139000
Cointrin - Les Sapins,"3000060",1915.10976864000
Genthod,"2200030",3512.24453939000
Versoix - lac,"4400081",2149.04817057000
Versoix - Bourg,"4400070",2840.08260691000
Pont-Céard,"4400061",2190.82988116000
Bellerive,"1600010",3831.61282845000
Prulay,"3000160",2638.10526795000
Meyrin - Les Vergers,"3000130",2768.76488562000
Feuillasse,"3000159",2740.73497415000
Meyrin - village,"3000110",3492.03035595000
Bel-Ebat,"4300012",2209.25892790000
Champs-Prévost,"4300011",2056.78365218000
Anières - lac,"0200011",4616.00656004000
Hermance - Rives-du-Lac,"2500010",3737.25636773000
La Gabiule,"1600030",3584.32236201000
Anières - Hutins,"0200012",4149.01695738000
Corsier - lac,"1900010",4030.99092098000
Les Vidollets,"4300160",2827.20325327000
Vailly,"0700062",2557.90980716000
Plaine-de-l'Aire - Champs-Blancs,"1800043",3099.98867921000
Le Gamay,"0700071",3278.97672048000
Poussy - Champ-Claude,"4300190",2393.54221323000
Rte de Peney - Crotte-au-Loup,"4300170",3888.84134847000
ZIMEYSA - Moulières,"3800042",3084.48807726000
Les Charmilles,"2135080",1518.26309277000
Le Canada,"4300150",2808.41664047000
Saint-Mathieu - Combes,"0700052",1708.68124696000
Montfleury,"3800050",4220.17376968000
Camille-MARTIN,"2136011",1451.02675262000
Châtillon,"0700020",5130.66912783000
Chambésy - village,"3400019",4460.95778142000
Concorde,"2136012",1553.24809954000
Le Vengeron,"3400031",2842.11205143000
Le Bachet,"2800079",2123.32412373000
Grand-Lancy - 1er Août,"2800151",1886.17021785000
La Praille - JOLIVET,"0800013",1781.16371923000
Grand-Lancy - piscine,"2800142",1291.75466917000
Quai du Rhône,"2113022",1160.97457824000
La Praille - Pont-Rouge,"2800051",2064.54100998000
Sainte-Clotilde,"2113072",947.29128868400
Promenades,"0800100",2064.31108021000
Fontenette - Moraines,"0800061",2079.50050327000
La Jonction,"2113010",1997.30159428000
La Praille - VIBERT,"0800011",1792.34829976000
Surville,"2800040",2490.25353890000
Village-Suisse,"2113071",1210.51724356000
Vieux-Carouge,"0800040",2131.72770821000
La Praille - BAYLON,"0800012",2716.84767715000
Petit-Lancy - Vendée,"2800130",2327.73600823000
La Gravière,"2114022",1088.42402800000
Le Sapey,"3300051",2196.08599353000
Vélodrome,"2113062",1001.14586758000
Les Mouilles - Belair,"2800101",2351.51709436000
La Praille - Marchandises,"2800052",2004.25134636000
Les Vernets,"2114030",1198.36499307000
Grand-Lancy - mairie,"2800141",2557.56057471000
La Praille - Rte des Jeunes,"2800053",1834.81317148000
La Praille - stade,"2800054",1909.31852281000
ANSERMET,"2113061",1482.32514648000
Le-ROYER,"2114062",1483.88798688000
La Queue-d'Arve,"2114021",1371.49205978000
Onex - village,"3100070",2222.30218836000
Petit-Lancy - Tivoli,"2800030",2497.38800023000
Campagne-MASSET,"2136031",1843.43363307000
Louis-BERTRAND,"2800120",2154.69090534000
Les Grandes-Communes,"2800010",3378.64666950000
Pregny - Organisations,"3400042",3567.37706283000
De-BUDE,"2134040",2036.71334871000
Les Grottes,"2103030",1571.60320768000
Pâquis - temple,"2104011",1012.39690071000
La Forêt,"2134070",1542.24424560000
Montbrillant,"2103050",1946.47508849000
Moillebeau,"2134060",1341.04522993000
APPIA,"2132011",2023.22803107000
Grand-Saconnex - Marais,"2300050",2671.93134452000
Balexert-centre,"4300032",1703.06731581000
Grand-Saconnex - village,"2300032",2770.92901508000
Servette - Surinam,"2135052",1160.58272183000
Le Pommier,"2300042",1986.07335303000
Teppes-du-Biolay,"3700040",6894.84200621000
Les Cherpines,"3300020",2910.73368831000
Cressy - Marais,"3100010",2839.88813870000
Saint-Jean - De-GALLATIN,"2136022",2289.75605908000
Vernier - village,"4300140",3114.69359629000
Bois-de-Saint-Victor,"0900050",4601.78108658000
Bardonnex - village,"0500070",4335.04656598000
La Fin,"0100040",4506.76284975000
Les Sillons,"4000021",2561.66396635000
La Plaine,"2000070",3448.02307409000
La Colline,"2111100",1303.57733144000
Etang-des-Tritons,"4300021",2136.62603379000
Châtelaine - SIMONET,"4300061",1547.01090869000
LIOTARD,"2135040",1381.64490037000
Châtelaine - village,"4300062",2354.97828605000
Colladon,"2134020",1566.20044550000
Vernier - Cointrin,"4300040",1652.32404123000
CHANDIEU,"2133020",1185.82410129000
Pregny - village,"3400041",3536.29501814000
Les Blanchets,"2300020",3563.03725480000
Libellules,"4300092",2285.74218500000
Etang - Philibert-de-SAUVAGE,"4300070",1919.33383731000
La Tour - Chapeau-du-Curé,"2300041",2796.80144933000
Blandonnet,"4300022",1087.16348220000
Prairie,"2103022",1309.84773497000
Cité-Vieusseux,"2135030",1519.28895106000
Cornavin,"2102031",1272.02718884000
GEISENDORF,"2135060",1071.55116021000
Signal,"0700080",4110.83192005000
Chèvres,"0700030",3310.72674798000
Treulaz,"0100010",4269.43003484000
Saint-Mathieu - stand,"0700053",2888.82618740000
Confignon - village,"1800020",3395.08923972000
Cressy - Molliers,"0700051",2487.24787732000
La Foretaille,"1500040",9264.40411871000
Rennex,"2200020",4377.56386531000
Mâchefer,"4400090",5084.70535419000
Pierre-Grise,"2200010",4548.74855573000
Bellevue - Grands-Bois,"0600020",4581.34458663000
Les Rousses,"2200040",3755.46733495000
Bois-des-Frères,"4300130",3530.79989622000
Vésenaz - lac,"1600071",2360.24784954000
Cité-Nouvelle,"3100030",3755.44272800000
Aéroport - Arena,"2300011",4203.42602215000
Lully,"0700090",5407.46958106000
Citadelle,"3000049",5194.99277794000
La Capite - Bonvard,"1400010",3489.65569607000
Belle-Cour,"3100060",3694.89833899000
Plan-les-Ouates - village,"3300049",2614.59948780000
Coulouvrenière - Rois,"2113021",1495.60723647000
La Caroline,"2800110",2471.77139236000
Vieux-Four,"0100039",3305.98374983000
Chougny,"4200042",4206.97501511000
Les Teppes,"0700010",9227.03146377000
Le Jonc,"2300069",2606.08190011000
Vermont,"2133040",1441.55310390000
Vieux-Bourg,"1300010",2302.21421061000
Gros-Chêne,"3100040",2597.87351181000
Pré-Longet,"3100050",3063.82089389000
Les Mouilles - Collège De-SAUSSURE,"2800102",1961.10804581000
Florissant,"2122080",976.23963810100
